### Starting TaskPrologue of job 1560982 on tg095 at Sun Mar 29 11:34:14 AM CEST 2026
Running on cores 96-127 with governor ondemand
Sun Mar 29 11:34:14 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.20             Driver Version: 580.126.20     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-40GB          On  |   00000000:C1:00.0 Off |                    0 |
| N/A   34C    P0             50W /  400W |       0MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
### Finished TaskPrologue

=== EXPERIMENT START ===
Job ID:    1560982
Node:      tg095
Partition: a100
Start:     Sun Mar 29 11:34:15 AM CEST 2026
---
WARN: conda env 'scvi_env' not found, using pip user packages
NVIDIA A100-SXM4-40GB, 40960 MiB, 8.0
---
fatal: not a git repository (or any parent up to mount point /home)
Stopping at filesystem boundary (GIT_DISCOVERY_ACROSS_FILESYSTEM not set).
/home/hpc/iwbn/iwbn129h/sc_autoencoder_project/scripts/run_experiment.py:432: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  run_id = datetime.utcnow().strftime("run_%Y%m%dT%H%M%SZ")
2026-03-29 11:34:33 | experiment | INFO |   TensorBoard: logs/tensorboard/run_20260329T093433Z
2026-03-29 11:34:33 | experiment | INFO |   View live:   tensorboard --logdir logs/tensorboard
2026-03-29 11:34:33 | experiment | INFO | ======================================================================
2026-03-29 11:34:33 | experiment | INFO | EXPERIMENT: Latent Dimension Sweep
2026-03-29 11:34:33 | experiment | INFO |   Datasets:       ['pbmc3k', 'paul15']
2026-03-29 11:34:33 | experiment | INFO |   Model/losses:   [('ae', 'mse'), ('vae', 'mse'), ('scvi', 'nb')]
2026-03-29 11:34:33 | experiment | INFO |   Latent dims:    [2, 4, 6, 8, 10, 12, 16, 20, 24, 32, 48, 64]
2026-03-29 11:34:33 | experiment | INFO |   Seeds:          3
2026-03-29 11:34:33 | experiment | INFO |   Device:         cuda
2026-03-29 11:34:33 | experiment | INFO |   Git commit:     unknown
2026-03-29 11:34:33 | experiment | INFO |   Run ID:         run_20260329T093433Z
2026-03-29 11:34:33 | experiment | INFO | ======================================================================
/home/hpc/iwbn/iwbn129h/sc_autoencoder_project/scripts/run_experiment.py:464: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  "timestamp_utc": datetime.utcnow().isoformat() + "Z",
2026-03-29 11:34:34 | experiment | INFO | 
Dataset: pbmc3k (2700 cells, K=9, mode=in_memory)
2026-03-29 11:34:34 | experiment | INFO | 
--- pbmc3k | ae:mse | d=2 | seed=42 ---
2026-03-29 11:34:57 | experiment | INFO |   -> ARI=0.0009, AMI=-0.0009, Sil=-0.0810, Recon=0.217228, CPUmem=3.3MB, Time=23.2s
2026-03-29 11:34:57 | experiment | INFO | 
--- pbmc3k | ae:mse | d=2 | seed=43 ---
2026-03-29 11:35:04 | experiment | INFO |   -> ARI=0.0008, AMI=-0.0002, Sil=-0.0437, Recon=0.216303, CPUmem=4.2MB, Time=7.5s
2026-03-29 11:35:04 | experiment | INFO | 
--- pbmc3k | ae:mse | d=2 | seed=44 ---
2026-03-29 11:35:12 | experiment | INFO |   -> ARI=-0.0024, AMI=-0.0013, Sil=-0.1713, Recon=0.217822, CPUmem=3.3MB, Time=7.5s
2026-03-29 11:35:12 | experiment | INFO | 
--- pbmc3k | ae:mse | d=4 | seed=42 ---
2026-03-29 11:35:20 | experiment | INFO |   -> ARI=-0.0016, AMI=-0.0002, Sil=-0.0874, Recon=0.214495, CPUmem=4.2MB, Time=7.6s
2026-03-29 11:35:20 | experiment | INFO | 
--- pbmc3k | ae:mse | d=4 | seed=43 ---
2026-03-29 11:35:27 | experiment | INFO |   -> ARI=-0.0010, AMI=0.0018, Sil=-0.0863, Recon=0.213047, CPUmem=4.1MB, Time=7.8s
2026-03-29 11:35:27 | experiment | INFO | 
--- pbmc3k | ae:mse | d=4 | seed=44 ---
2026-03-29 11:35:35 | experiment | INFO |   -> ARI=-0.0015, AMI=-0.0009, Sil=-0.0477, Recon=0.213236, CPUmem=4.2MB, Time=7.5s
2026-03-29 11:35:35 | experiment | INFO | 
--- pbmc3k | ae:mse | d=6 | seed=42 ---
2026-03-29 11:35:42 | experiment | INFO |   -> ARI=-0.0012, AMI=-0.0018, Sil=-0.0827, Recon=0.212914, CPUmem=4.2MB, Time=7.4s
2026-03-29 11:35:42 | experiment | INFO | 
--- pbmc3k | ae:mse | d=6 | seed=43 ---
2026-03-29 11:35:49 | experiment | INFO |   -> ARI=0.0022, AMI=-0.0003, Sil=-0.0406, Recon=0.213641, CPUmem=4.2MB, Time=6.6s
2026-03-29 11:35:49 | experiment | INFO | 
--- pbmc3k | ae:mse | d=6 | seed=44 ---
2026-03-29 11:35:56 | experiment | INFO |   -> ARI=0.0001, AMI=0.0011, Sil=-0.0366, Recon=0.212142, CPUmem=4.2MB, Time=7.5s
2026-03-29 11:35:56 | experiment | INFO | 
--- pbmc3k | ae:mse | d=8 | seed=42 ---
2026-03-29 11:36:04 | experiment | INFO |   -> ARI=-0.0023, AMI=-0.0005, Sil=-0.1088, Recon=0.212583, CPUmem=4.1MB, Time=7.6s
2026-03-29 11:36:04 | experiment | INFO | 
--- pbmc3k | ae:mse | d=8 | seed=43 ---
2026-03-29 11:36:10 | experiment | INFO |   -> ARI=-0.0028, AMI=-0.0010, Sil=-0.1163, Recon=0.213817, CPUmem=4.2MB, Time=6.2s
2026-03-29 11:36:10 | experiment | INFO | 
--- pbmc3k | ae:mse | d=8 | seed=44 ---
2026-03-29 11:36:17 | experiment | INFO |   -> ARI=-0.0026, AMI=0.0006, Sil=-0.1528, Recon=0.213261, CPUmem=4.2MB, Time=6.5s
2026-03-29 11:36:17 | experiment | INFO | 
--- pbmc3k | ae:mse | d=10 | seed=42 ---
2026-03-29 11:36:24 | experiment | INFO |   -> ARI=-0.0002, AMI=0.0008, Sil=-0.2557, Recon=0.211311, CPUmem=4.1MB, Time=7.7s
2026-03-29 11:36:24 | experiment | INFO | 
--- pbmc3k | ae:mse | d=10 | seed=43 ---
2026-03-29 11:36:32 | experiment | INFO |   -> ARI=0.0006, AMI=0.0004, Sil=-0.1076, Recon=0.214002, CPUmem=4.2MB, Time=7.8s
2026-03-29 11:36:32 | experiment | INFO | 
--- pbmc3k | ae:mse | d=10 | seed=44 ---
2026-03-29 11:36:40 | experiment | INFO |   -> ARI=0.0006, AMI=-0.0001, Sil=-0.0952, Recon=0.213475, CPUmem=4.1MB, Time=8.2s
2026-03-29 11:36:40 | experiment | INFO | 
--- pbmc3k | ae:mse | d=12 | seed=42 ---
2026-03-29 11:36:48 | experiment | INFO |   -> ARI=-0.0022, AMI=-0.0013, Sil=-0.0941, Recon=0.212274, CPUmem=4.2MB, Time=7.5s
2026-03-29 11:36:48 | experiment | INFO | 
--- pbmc3k | ae:mse | d=12 | seed=43 ---
